country;(All);;;;;
year_week;(All);;;;;
;;;;;;
;;;Values;;;
country_code; ;population;Sumweekly_count;Sumweekly_count2;percentages;Died_cases
AUT;cases;8932664;5.835.580;5835580;65,33%;
;deaths;8932664;21.862;21862;0,24%;0,37%
BEL;cases;11554767;4.694.276;4694276;40,63%;
;deaths;11554767;37.878;37878;0,33%;0,81%
BGR;cases;6916548;1.285.244;1285244;18,58%;
;deaths;6916548;38.140;38140;0,55%;2,97%
CYP;cases;896007;634.011;634011;70,76%;
;deaths;896007;1.611;1611;0,18%;0,25%
CZE;cases;10701777;4.555.116;4555116;42,56%;
;deaths;10701777;42.261;42261;0,39%;0,93%
DEU;cases;83155031;37.829.474;37829474;45,49%;
;deaths;83155031;166.278;166278;0,20%;0,44%
DNK;cases;5840045;3.396.953;3396953;58,17%;
;deaths;5840045;7.934;7934;0,14%;0,23%
ESP;cases;47398695;13.813.225;13813225;29,14%;
;deaths;47398695;119.063;119063;0,25%;0,86%
EST;cases;1330068;596.851;596851;44,87%;
;deaths;1330068;2.801;2801;0,21%;0,47%
FIN;cases;5533793;1.461.234;1461234;26,41%;
;deaths;5533793;8.860;8860;0,16%;0,61%
FRA;cases;67656682;39.628.715;39628715;58,57%;
;deaths;67656682;178.965;178965;0,26%;0,45%
GRC;cases;10678632;5.194.201;5194201;48,64%;
;deaths;10678632;36.077;36077;0,34%;0,69%
HRV;cases;4036355;1.394.756;1394756;34,55%;
;deaths;4036355;5.289;5289;0,13%;0,38%
HUN;cases;9730772;2.194.183;2194183;22,55%;
;deaths;9730772;47.425;47425;0,49%;2,16%
IRL;cases;5006324;1.689.255;1689255;33,74%;
;deaths;5006324;8.104;8104;0,16%;0,48%
ISL;cases;368792;208.114;208114;56,43%;
;deaths;368792;186;186;0,05%;0,09%
ITA;cases;59236213;25.741.281;25741281;43,46%;
;deaths;59236213;193.765;193765;0,33%;0,75%
LIE;cases;39055;21.229;21229;54,36%;
;deaths;39055;86;86;0,22%;0,41%
LTU;cases;2795680;1.513.611;1513611;54,14%;
;deaths;2795680;9.408;9408;0,34%;0,62%
LUX;cases;634730;370.950;370950;58,44%;
;deaths;634730;984;984;0,16%;0,27%
LVA;cases;1893223;973.205;973205;51,40%;
;deaths;1893223;7.165;7165;0,38%;0,74%
MLT;cases;516100;117.238;117238;22,72%;
;deaths;516100;847;847;0,16%;0,72%
NLD;cases;17475415;8.587.484;8587484;49,14%;
;deaths;17475415;22.987;22987;0,13%;0,27%
NOR;cases;5391369;1.478.355;1478355;27,42%;
;deaths;5391369;2.030;2030;0,04%;0,14%
POL;cases;37840001;6.398.260;6398260;16,91%;
;deaths;37840001;119.200;119200;0,32%;1,86%
PRT;cases;10298252;5.565.814;5565814;54,05%;
;deaths;10298252;26.098;26098;0,25%;0,47%
ROU;cases;19201662;3.278.741;3278741;17,08%;
;deaths;19201662;65.446;65446;0,34%;2,00%
SVK;cases;5459781;2.402.890;2402890;44,01%;
;deaths;5459781;19.482;19482;0,36%;0,81%
SVN;cases;2108977;1.323.816;1323816;62,77%;
;deaths;2108977;9.088;9088;0,43%;0,69%
SWE;cases;10379295;2.695.855;2695855;25,97%;
;deaths;10379295;23.539;23539;0,23%;0,87%
Eindtotaal;;;186.102.776;186102776;;
