country;(All);;;;;
year_week;(All);;;;;
;;;;;;
;;;Values;;;
country_code; ;population;Sumweekly_count;Sumweekly_count2;percentages;Died_cases
AUT;cases;8932664;5.835.580;5835580;65,3286%;
;deaths;8932664;21.862;21862;0,2447%;0,3746%
BEL;cases;11554767;4.694.276;4694276;40,6263%;
;deaths;11554767;37.878;37878;0,3278%;0,8069%
BGR;cases;6916548;1.285.244;1285244;18,5822%;
;deaths;6916548;38.140;38140;0,5514%;2,9675%
CYP;cases;896007;634.011;634011;70,7596%;
;deaths;896007;1.611;1611;0,1798%;0,2541%
CZE;cases;10701777;4.555.116;4555116;42,5641%;
;deaths;10701777;42.261;42261;0,3949%;0,9278%
DEU;cases;83155031;37.829.474;37829474;45,4927%;
;deaths;83155031;166.278;166278;0,2000%;0,4395%
DNK;cases;5840045;3.396.953;3396953;58,1666%;
;deaths;5840045;7.934;7934;0,1359%;0,2336%
ESP;cases;47398695;13.813.225;13813225;29,1426%;
;deaths;47398695;119.063;119063;0,2512%;0,8619%
EST;cases;1330068;596.851;596851;44,8737%;
;deaths;1330068;2.801;2801;0,2106%;0,4693%
FIN;cases;5533793;1.461.234;1461234;26,4056%;
;deaths;5533793;8.860;8860;0,1601%;0,6063%
FRA;cases;67656682;39.628.715;39628715;58,5732%;
;deaths;67656682;178.965;178965;0,2645%;0,4516%
GRC;cases;10678632;5.194.201;5194201;48,6411%;
;deaths;10678632;36.077;36077;0,3378%;0,6946%
HRV;cases;4036355;1.394.756;1394756;34,5548%;
;deaths;4036355;5.289;5289;0,1310%;0,3792%
HUN;cases;9730772;2.194.183;2194183;22,5489%;
;deaths;9730772;47.425;47425;0,4874%;2,1614%
IRL;cases;5006324;1.689.255;1689255;33,7424%;
;deaths;5006324;8.104;8104;0,1619%;0,4797%
ISL;cases;368792;208.114;208114;56,4313%;
;deaths;368792;186;186;0,0504%;0,0894%
ITA;cases;59236213;25.741.281;25741281;43,4553%;
;deaths;59236213;193.765;193765;0,3271%;0,7527%
LIE;cases;39055;21.229;21229;54,3567%;
;deaths;39055;86;86;0,2202%;0,4051%
LTU;cases;2795680;1.513.611;1513611;54,1411%;
;deaths;2795680;9.408;9408;0,3365%;0,6216%
LUX;cases;634730;370.950;370950;58,4422%;
;deaths;634730;984;984;0,1550%;0,2653%
LVA;cases;1893223;973.205;973205;51,4047%;
;deaths;1893223;7.165;7165;0,3785%;0,7362%
MLT;cases;516100;117.238;117238;22,7161%;
;deaths;516100;847;847;0,1641%;0,7225%
NLD;cases;17475415;8.587.484;8587484;49,1404%;
;deaths;17475415;22.987;22987;0,1315%;0,2677%
NOR;cases;5391369;1.478.355;1478355;27,4208%;
;deaths;5391369;2.030;2030;0,0377%;0,1373%
POL;cases;37840001;6.398.260;6398260;16,9087%;
;deaths;37840001;119.200;119200;0,3150%;1,8630%
PRT;cases;10298252;5.565.814;5565814;54,0462%;
;deaths;10298252;26.098;26098;0,2534%;0,4689%
ROU;cases;19201662;3.278.741;3278741;17,0753%;
;deaths;19201662;65.446;65446;0,3408%;1,9961%
SVK;cases;5459781;2.402.890;2402890;44,0107%;
;deaths;5459781;19.482;19482;0,3568%;0,8108%
SVN;cases;2108977;1.323.816;1323816;62,7705%;
;deaths;2108977;9.088;9088;0,4309%;0,6865%
SWE;cases;10379295;2.695.855;2695855;25,9734%;
;deaths;10379295;23.539;23539;0,2268%;0,8732%
Eindtotaal;;;186.102.776;186102776;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
